COMBAT_ID_Time,pseudobulk,variable,value
N00033-Ja001,PB,IGHA1,0.3333333333333333
N00038-Ja001,B.NAIVE,IGHA1,0
N00038-Ja001,B.INT,IGHA1,0.030303030303030304
N00038-Ja001,B.MEM,IGHA1,0.125
N00038-Ja001,PB,IGHA1,0.6666666666666666
N00047-Ja005,B.NAIVE,IGHA1,0
N00047-Ja005,B.INT,IGHA1,0
N00047-Ja005,B.MEM,IGHA1,0.5
N00047-Ja005,PB,IGHA1,0.4090909090909091
N00049-Ja005,B.NAIVE,IGHA1,0
N00049-Ja005,B.INT,IGHA1,0
N00049-Ja005,B.MEM,IGHA1,0.44
N00049-Ja005,PB,IGHA1,0.5454545454545454
N00050-Ja001,B.NAIVE,IGHA1,0
N00050-Ja001,B.INT,IGHA1,0
N00050-Ja001,B.MEM,IGHA1,0.3076923076923077
N00050-Ja001,PB,IGHA1,0.10218978102189781
S00002-Ja001,B.NAIVE,IGHA1,0
S00002-Ja001,B.INT,IGHA1,0
S00002-Ja001,B.MEM,IGHA1,0.13636363636363635
S00002-Ja001,PB,IGHA1,0.5833333333333334
S00005-Ja005,B.NAIVE,IGHA1,0
S00005-Ja005,B.INT,IGHA1,0.031746031746031744
S00005-Ja005,B.MEM,IGHA1,0.3230769230769231
S00005-Ja005,PB,IGHA1,0.43636363636363634
S00006-Ja005,B.NAIVE,IGHA1,0
S00006-Ja005,B.INT,IGHA1,0
S00006-Ja005,B.MEM,IGHA1,0.04411764705882353
S00006-Ja005,PB,IGHA1,0.10526315789473684
S00007-Ja003,B.NAIVE,IGHA1,0
S00007-Ja003,B.INT,IGHA1,0.012345679012345678
S00007-Ja003,B.MEM,IGHA1,0.14285714285714285
S00007-Ja003,PB,IGHA1,0.3333333333333333
S00008-Ja003,B.NAIVE,IGHA1,0
S00008-Ja003,B.INT,IGHA1,0
S00008-Ja003,B.MEM,IGHA1,0
S00008-Ja003,PB,IGHA1,0.4166666666666667
S00016-Ja001,B.NAIVE,IGHA1,0
S00016-Ja001,B.INT,IGHA1,0
S00016-Ja001,B.MEM,IGHA1,0.2857142857142857
S00016-Ja001,PB,IGHA1,0.4375
S00020-Ja003,B.NAIVE,IGHA1,0
S00020-Ja003,B.INT,IGHA1,0.0392156862745098
S00020-Ja003,B.MEM,IGHA1,0.1935483870967742
S00020-Ja003,PB,IGHA1,0.4074074074074074
S00024-Ja003,B.NAIVE,IGHA1,0
S00024-Ja003,B.INT,IGHA1,0.06818181818181818
S00024-Ja003,B.MEM,IGHA1,0.391304347826087
S00024-Ja003,PB,IGHA1,0.4176470588235294
S00027-Ja003,B.NAIVE,IGHA1,0
S00027-Ja003,B.INT,IGHA1,0.006568144499178982
S00027-Ja003,B.MEM,IGHA1,0.6028368794326241
S00027-Ja003,PB,IGHA1,0.30357142857142855
S00028-Ja001,B.NAIVE,IGHA1,0
S00028-Ja001,B.INT,IGHA1,0.014705882352941176
S00028-Ja001,B.MEM,IGHA1,0.3225806451612903
S00028-Ja001,PB,IGHA1,0.7922077922077922
S00034-Ja005,B.NAIVE,IGHA1,0
S00034-Ja005,B.INT,IGHA1,0.01818181818181818
S00034-Ja005,B.MEM,IGHA1,0.25742574257425743
S00034-Ja005,PB,IGHA1,0.36923076923076925
S00037-Ja003,B.NAIVE,IGHA1,0
S00037-Ja003,B.INT,IGHA1,0.018867924528301886
S00037-Ja003,B.MEM,IGHA1,0.17142857142857143
S00037-Ja003,PB,IGHA1,0.35714285714285715
S00040-Ja005,B.NAIVE,IGHA1,0
S00040-Ja005,B.INT,IGHA1,0.03333333333333333
S00040-Ja005,B.MEM,IGHA1,0.20754716981132076
S00040-Ja005,PB,IGHA1,0.25
S00041-Ja001,B.NAIVE,IGHA1,0
S00041-Ja001,B.INT,IGHA1,0.014285714285714285
S00041-Ja001,B.MEM,IGHA1,0.024291497975708502
S00041-Ja001,PB,IGHA1,0.5238095238095238
S00042-Ja001,B.NAIVE,IGHA1,0
S00042-Ja001,B.INT,IGHA1,0.0136986301369863
S00042-Ja001,B.MEM,IGHA1,0.27927927927927926
S00042-Ja001,PB,IGHA1,0.14906832298136646
S00043-Ja005,B.NAIVE,IGHA1,0
S00043-Ja005,B.INT,IGHA1,0
S00043-Ja005,B.MEM,IGHA1,0.10256410256410256
S00043-Ja005,PB,IGHA1,0.3208955223880597
S00045-Ja001,B.NAIVE,IGHA1,0
S00045-Ja001,B.INT,IGHA1,0
S00045-Ja001,B.MEM,IGHA1,0.13636363636363635
S00045-Ja001,PB,IGHA1,0.4444444444444444
S00048-Ja003,B.NAIVE,IGHA1,0
S00048-Ja003,B.INT,IGHA1,0
S00048-Ja003,B.MEM,IGHA1,0.15
S00048-Ja003,PB,IGHA1,0.23636363636363636
S00050-Ja001,B.NAIVE,IGHA1,0
S00050-Ja001,B.INT,IGHA1,0.043478260869565216
S00050-Ja001,B.MEM,IGHA1,0.52
S00050-Ja001,PB,IGHA1,0.5033112582781457
S00052-Ja005,B.NAIVE,IGHA1,0
S00052-Ja005,B.INT,IGHA1,0.007653061224489796
S00052-Ja005,B.MEM,IGHA1,0.24404761904761904
S00052-Ja005,PB,IGHA1,0.11627906976744186
S00053-Ja003,B.NAIVE,IGHA1,0
S00053-Ja003,B.INT,IGHA1,0
S00053-Ja003,B.MEM,IGHA1,0.2962962962962963
S00053-Ja003,PB,IGHA1,0.2289156626506024
S00054-Ja001,B.NAIVE,IGHA1,0
S00054-Ja001,B.INT,IGHA1,0.03225806451612903
S00054-Ja001,B.MEM,IGHA1,0.21428571428571427
S00054-Ja001,PB,IGHA1,0.5142857142857142
S00056-Ja003,B.NAIVE,IGHA1,0
S00056-Ja003,B.INT,IGHA1,0
S00056-Ja003,B.MEM,IGHA1,0.23529411764705882
S00056-Ja003,PB,IGHA1,0.08139534883720931
S00057-Ja003,B.NAIVE,IGHA1,0
S00057-Ja003,B.INT,IGHA1,0
S00057-Ja003,B.MEM,IGHA1,0.23728813559322035
S00057-Ja003,PB,IGHA1,0.3103448275862069
S00058-Ja003,B.NAIVE,IGHA1,0
S00058-Ja003,B.INT,IGHA1,0
S00058-Ja003,B.MEM,IGHA1,0.4444444444444444
S00058-Ja003,PB,IGHA1,0.3333333333333333
S00059-Ja001,B.NAIVE,IGHA1,0
S00059-Ja001,B.INT,IGHA1,0
S00059-Ja001,B.MEM,IGHA1,0.2
S00059-Ja001,PB,IGHA1,0.43636363636363634
S00060-Ja005,B.NAIVE,IGHA1,0
S00060-Ja005,B.INT,IGHA1,0
S00060-Ja005,B.MEM,IGHA1,0.13333333333333333
S00060-Ja005,PB,IGHA1,0.3463687150837989
S00061-Ja003,B.NAIVE,IGHA1,0
S00061-Ja003,B.INT,IGHA1,0
S00061-Ja003,B.MEM,IGHA1,0.3684210526315789
S00061-Ja003,PB,IGHA1,0.21428571428571427
S00063-Ja003,B.NAIVE,IGHA1,0
S00063-Ja003,B.INT,IGHA1,0.038461538461538464
S00063-Ja003,B.MEM,IGHA1,0.23076923076923078
S00063-Ja003,PB,IGHA1,0.5517241379310345
S00064-Ja005,B.NAIVE,IGHA1,0
S00064-Ja005,B.INT,IGHA1,0.041666666666666664
S00064-Ja005,B.MEM,IGHA1,0.24615384615384617
S00064-Ja005,PB,IGHA1,0.20952380952380953
S00065-Ja003,B.NAIVE,IGHA1,0
S00065-Ja003,B.INT,IGHA1,0.020202020202020204
S00065-Ja003,B.MEM,IGHA1,0.36904761904761907
S00065-Ja003,PB,IGHA1,0.7058823529411765
S00067-Ja001,B.NAIVE,IGHA1,0
S00067-Ja001,B.INT,IGHA1,0.022988505747126436
S00067-Ja001,B.MEM,IGHA1,0.2638888888888889
S00067-Ja001,PB,IGHA1,0.2982456140350877
S00068-Ja005,B.NAIVE,IGHA1,0
S00068-Ja005,B.INT,IGHA1,0.05555555555555555
S00068-Ja005,B.MEM,IGHA1,0.1935483870967742
S00068-Ja005,PB,IGHA1,0.1977401129943503
S00069-Ja005,B.NAIVE,IGHA1,0
S00069-Ja005,B.INT,IGHA1,0
S00069-Ja005,B.MEM,IGHA1,0.15
S00069-Ja005,PB,IGHA1,0.14705882352941177
S00076-Ja001,B.NAIVE,IGHA1,0
S00076-Ja001,B.INT,IGHA1,0.02857142857142857
S00076-Ja001,B.MEM,IGHA1,0.25
S00076-Ja001,PB,IGHA1,0.42857142857142855
S00077-Ja005,B.NAIVE,IGHA1,0
S00077-Ja005,B.INT,IGHA1,0
S00077-Ja005,B.MEM,IGHA1,0.125
S00077-Ja005,PB,IGHA1,0.18518518518518517
S00078-Ja003,B.NAIVE,IGHA1,0
S00078-Ja003,B.INT,IGHA1,0.06329113924050633
S00078-Ja003,B.MEM,IGHA1,0.20224719101123595
S00078-Ja003,PB,IGHA1,0.4567901234567901
S00094-Ja005,B.NAIVE,IGHA1,0
S00094-Ja005,B.INT,IGHA1,0
S00094-Ja005,B.MEM,IGHA1,0.2839506172839506
S00094-Ja005,PB,IGHA1,0.32608695652173914
S00095-Ja005,B.NAIVE,IGHA1,0
S00095-Ja005,B.INT,IGHA1,0.05714285714285714
S00095-Ja005,B.MEM,IGHA1,0.1568627450980392
S00095-Ja005,PB,IGHA1,0.3939393939393939
S00099-Ja005,B.NAIVE,IGHA1,0
S00099-Ja005,B.INT,IGHA1,0
S00099-Ja005,B.MEM,IGHA1,0
S00099-Ja005,PB,IGHA1,0.11538461538461539
S00104-Ja003,B.NAIVE,IGHA1,0
S00104-Ja003,B.INT,IGHA1,0.012658227848101266
S00104-Ja003,B.MEM,IGHA1,0.275
S00104-Ja003,PB,IGHA1,0.3026315789473684
S00106-Ja003,B.NAIVE,IGHA1,0
S00106-Ja003,B.INT,IGHA1,0.02631578947368421
S00106-Ja003,B.MEM,IGHA1,0.13333333333333333
S00106-Ja003,PB,IGHA1,0.29411764705882354
S00109-Ja005,B.NAIVE,IGHA1,0
S00109-Ja005,B.INT,IGHA1,0.02040816326530612
S00109-Ja005,B.MEM,IGHA1,0.2898550724637681
S00109-Ja005,PB,IGHA1,0.1694915254237288
S00112-Ja003,B.NAIVE,IGHA1,0
S00112-Ja003,B.INT,IGHA1,0.004405286343612335
S00112-Ja003,B.MEM,IGHA1,0.2857142857142857
S00112-Ja003,PB,IGHA1,0.6403940886699507
S00113-Ja005,B.NAIVE,IGHA1,0
S00113-Ja005,B.INT,IGHA1,0
S00113-Ja005,B.MEM,IGHA1,0.14814814814814814
S00113-Ja005,PB,IGHA1,0.288135593220339
S00114-Ja003,B.NAIVE,IGHA1,0
S00114-Ja003,B.INT,IGHA1,0
S00114-Ja003,B.MEM,IGHA1,0.3333333333333333
S00114-Ja003,PB,IGHA1,0.2441860465116279
S00124-Ja005,B.NAIVE,IGHA1,0
S00124-Ja005,B.INT,IGHA1,0.015625
S00124-Ja005,B.MEM,IGHA1,0.2619047619047619
S00124-Ja005,PB,IGHA1,0.24561403508771928
S00126-Ja003,B.NAIVE,IGHA1,0
S00126-Ja003,B.INT,IGHA1,0.02564102564102564
S00126-Ja003,B.MEM,IGHA1,0.27450980392156865
S00126-Ja003,PB,IGHA1,0.12650602409638553
S00134-Ja003,B.NAIVE,IGHA1,0
S00134-Ja003,B.INT,IGHA1,0.03125
S00134-Ja003,B.MEM,IGHA1,0.3076923076923077
S00134-Ja003,PB,IGHA1,0.3790322580645161
S00148-Ja003,B.NAIVE,IGHA1,0
S00148-Ja003,B.INT,IGHA1,0.016666666666666666
S00148-Ja003,B.MEM,IGHA1,0.14814814814814814
S00148-Ja003,PB,IGHA1,0.1891891891891892
G05061-Ja005,B.NAIVE,IGHA2,0
G05061-Ja005,B.INT,IGHA2,0
G05061-Ja005,B.MEM,IGHA2,0.06779661016949153
G05061-Ja005,PB,IGHA2,0.10526315789473684
G05064-Ja005,B.NAIVE,IGHA2,0
G05064-Ja005,B.INT,IGHA2,0
G05064-Ja005,B.MEM,IGHA2,0.06896551724137931
G05064-Ja005,PB,IGHA2,0.05
G05073-Ja005,B.NAIVE,IGHA2,0
G05073-Ja005,B.INT,IGHA2,0.03571428571428571
G05073-Ja005,B.MEM,IGHA2,0.11888111888111888
G05073-Ja005,PB,IGHA2,0.29411764705882354
G05077-Ja005,B.NAIVE,IGHA2,0
G05077-Ja005,B.INT,IGHA2,0
G05077-Ja005,B.MEM,IGHA2,0.20833333333333334
G05077-Ja005,PB,IGHA2,0.05172413793103448
G05078-Ja005,B.NAIVE,IGHA2,0
G05078-Ja005,B.INT,IGHA2,0
G05078-Ja005,B.MEM,IGHA2,0.030303030303030304
G05078-Ja005,PB,IGHA2,0.14285714285714285
G05097-Ja005,B.NAIVE,IGHA2,0
G05097-Ja005,B.INT,IGHA2,0
G05097-Ja005,B.MEM,IGHA2,0.09803921568627451
G05097-Ja005,PB,IGHA2,0
G05105-Ja005,B.NAIVE,IGHA2,0
G05105-Ja005,B.INT,IGHA2,0.012345679012345678
G05105-Ja005,B.MEM,IGHA2,0.06896551724137931
G05105-Ja005,PB,IGHA2,0
G05112-Ja005,B.NAIVE,IGHA2,0
G05112-Ja005,B.INT,IGHA2,0.00980392156862745
G05112-Ja005,B.MEM,IGHA2,0.04878048780487805
G05112-Ja005,PB,IGHA2,0.19047619047619047
G05145-Ja005,B.NAIVE,IGHA2,0
G05145-Ja005,B.INT,IGHA2,0
G05145-Ja005,B.MEM,IGHA2,0.061224489795918366
G05145-Ja005,PB,IGHA2,0.07142857142857142
G05153-Ja005,B.NAIVE,IGHA2,0
G05153-Ja005,B.INT,IGHA2,0
G05153-Ja005,B.MEM,IGHA2,0.16666666666666666
G05153-Ja005,PB,IGHA2,0
G05164-Ja005,B.NAIVE,IGHA2,0
G05164-Ja005,B.INT,IGHA2,0
G05164-Ja005,B.MEM,IGHA2,0.13157894736842105
G05164-Ja005,PB,IGHA2,0
G05171-Ja005,B.NAIVE,IGHA2,0
G05171-Ja005,B.INT,IGHA2,0
G05171-Ja005,B.MEM,IGHA2,0.09523809523809523
G05171-Ja005,PB,IGHA2,0
H00049-Ha001,B.NAIVE,IGHA2,0
H00049-Ha001,B.INT,IGHA2,0
H00049-Ha001,B.MEM,IGHA2,0.1651376146788991
H00049-Ha001,PB,IGHA2,0.15384615384615385
H00052-Ha001,B.NAIVE,IGHA2,0
H00052-Ha001,B.INT,IGHA2,0
H00052-Ha001,B.MEM,IGHA2,0.05555555555555555
H00052-Ha001,PB,IGHA2,0.2222222222222222
H00053-Ha001,B.NAIVE,IGHA2,0
H00053-Ha001,B.INT,IGHA2,0.011363636363636364
H00053-Ha001,B.MEM,IGHA2,0.11392405063291139
H00053-Ha001,PB,IGHA2,0.1111111111111111
H00054-Ha001,B.NAIVE,IGHA2,0
H00054-Ha001,B.INT,IGHA2,0
H00054-Ha001,B.MEM,IGHA2,0.17518248175182483
H00054-Ha001,PB,IGHA2,0.05555555555555555
H00058-Ha001,B.NAIVE,IGHA2,0
H00058-Ha001,B.INT,IGHA2,0.007633587786259542
H00058-Ha001,B.MEM,IGHA2,0.05128205128205128
H00058-Ha001,PB,IGHA2,0.06896551724137931
H00064-Ha001,B.NAIVE,IGHA2,0
H00064-Ha001,B.INT,IGHA2,0
H00064-Ha001,B.MEM,IGHA2,0.07894736842105263
H00064-Ha001,PB,IGHA2,0.25925925925925924
H00067-Ha001,B.NAIVE,IGHA2,0
H00067-Ha001,B.INT,IGHA2,0.010638297872340425
H00067-Ha001,B.MEM,IGHA2,0.19607843137254902
H00067-Ha001,PB,IGHA2,0
H00070-Ha001,B.NAIVE,IGHA2,0
H00070-Ha001,B.INT,IGHA2,0.022727272727272728
H00070-Ha001,B.MEM,IGHA2,0.11290322580645161
H00070-Ha001,PB,IGHA2,0
H00072-Ha001,B.NAIVE,IGHA2,0
H00072-Ha001,B.INT,IGHA2,0
H00072-Ha001,B.MEM,IGHA2,0.09090909090909091
H00072-Ha001,PB,IGHA2,0.16666666666666666
H00085-Ha001,B.NAIVE,IGHA2,0
H00085-Ha001,B.INT,IGHA2,0
H00085-Ha001,B.MEM,IGHA2,0.0945945945945946
H00085-Ha001,PB,IGHA2,0.1
N00006-Ja003,B.NAIVE,IGHA2,0
N00006-Ja003,B.INT,IGHA2,0
N00006-Ja003,B.MEM,IGHA2,0
N00006-Ja003,PB,IGHA2,0.08695652173913043
N00007-Ja003,B.NAIVE,IGHA2,0
N00007-Ja003,B.INT,IGHA2,0.008849557522123894
N00007-Ja003,B.MEM,IGHA2,0.058823529411764705
N00007-Ja003,PB,IGHA2,0.21212121212121213
N00012-Ja003,B.NAIVE,IGHA2,0
N00012-Ja003,B.INT,IGHA2,0
N00012-Ja003,B.MEM,IGHA2,0.21052631578947367
N00012-Ja003,PB,IGHA2,0.05263157894736842
N00017-Ja003,B.NAIVE,IGHA2,0
N00017-Ja003,B.INT,IGHA2,0
N00017-Ja003,B.MEM,IGHA2,0.07142857142857142
N00017-Ja003,PB,IGHA2,0.017857142857142856
N00021-Ja001,B.NAIVE,IGHA2,0
N00021-Ja001,B.INT,IGHA2,0.01818181818181818
N00021-Ja001,B.MEM,IGHA2,0.05539358600583091
N00021-Ja001,PB,IGHA2,0
N00024-Ja001,B.NAIVE,IGHA2,0
N00024-Ja001,B.INT,IGHA2,0
N00024-Ja001,B.MEM,IGHA2,0.3076923076923077
N00024-Ja001,PB,IGHA2,0
N00025-Ja001,B.NAIVE,IGHA2,0
N00025-Ja001,B.INT,IGHA2,0
N00025-Ja001,B.MEM,IGHA2,0
N00025-Ja001,PB,IGHA2,0.25
N00028-Ja001,B.NAIVE,IGHA2,0
N00028-Ja001,B.INT,IGHA2,0.005847953216374269
N00028-Ja001,B.MEM,IGHA2,0.05084745762711865
N00028-Ja001,PB,IGHA2,0.2222222222222222
N00032-Ja001,B.NAIVE,IGHA2,0
N00032-Ja001,B.INT,IGHA2,0.02476780185758514
N00032-Ja001,B.MEM,IGHA2,0.13793103448275862
N00032-Ja001,PB,IGHA2,0.11764705882352941
N00033-Ja001,B.NAIVE,IGHA2,0
N00033-Ja001,B.INT,IGHA2,0
N00033-Ja001,B.MEM,IGHA2,0.25
N00033-Ja001,PB,IGHA2,0.16666666666666666
N00038-Ja001,B.NAIVE,IGHA2,0
N00038-Ja001,B.INT,IGHA2,0
N00038-Ja001,B.MEM,IGHA2,0.125
N00038-Ja001,PB,IGHA2,0.16666666666666666
N00047-Ja005,B.NAIVE,IGHA2,0
N00047-Ja005,B.INT,IGHA2,0
N00047-Ja005,B.MEM,IGHA2,0
N00047-Ja005,PB,IGHA2,0.015151515151515152
N00049-Ja005,B.NAIVE,IGHA2,0
N00049-Ja005,B.INT,IGHA2,0
N00049-Ja005,B.MEM,IGHA2,0
N00049-Ja005,PB,IGHA2,0
N00050-Ja001,B.NAIVE,IGHA2,0
N00050-Ja001,B.INT,IGHA2,0
N00050-Ja001,B.MEM,IGHA2,0.23076923076923078
N00050-Ja001,PB,IGHA2,0.051094890510948905
S00002-Ja001,B.NAIVE,IGHA2,0
S00002-Ja001,B.INT,IGHA2,0
S00002-Ja001,B.MEM,IGHA2,0
S00002-Ja001,PB,IGHA2,0.25
S00005-Ja005,B.NAIVE,IGHA2,0
S00005-Ja005,B.INT,IGHA2,0
S00005-Ja005,B.MEM,IGHA2,0.015384615384615385
S00005-Ja005,PB,IGHA2,0.006060606060606061
S00006-Ja005,B.NAIVE,IGHA2,0
S00006-Ja005,B.INT,IGHA2,0
S00006-Ja005,B.MEM,IGHA2,0.014705882352941176
S00006-Ja005,PB,IGHA2,0.13157894736842105
S00007-Ja003,B.NAIVE,IGHA2,0
S00007-Ja003,B.INT,IGHA2,0
S00007-Ja003,B.MEM,IGHA2,0.14285714285714285
S00007-Ja003,PB,IGHA2,0
S00008-Ja003,B.NAIVE,IGHA2,0
S00008-Ja003,B.INT,IGHA2,0
S00008-Ja003,B.MEM,IGHA2,0.2
S00008-Ja003,PB,IGHA2,0.08333333333333333
S00016-Ja001,B.NAIVE,IGHA2,0
S00016-Ja001,B.INT,IGHA2,0
S00016-Ja001,B.MEM,IGHA2,0.14285714285714285
S00016-Ja001,PB,IGHA2,0.1875
S00020-Ja003,B.NAIVE,IGHA2,0
S00020-Ja003,B.INT,IGHA2,0
S00020-Ja003,B.MEM,IGHA2,0.016129032258064516
S00020-Ja003,PB,IGHA2,0.037037037037037035
S00024-Ja003,B.NAIVE,IGHA2,0
S00024-Ja003,B.INT,IGHA2,0
S00024-Ja003,B.MEM,IGHA2,0.08695652173913043
S00024-Ja003,PB,IGHA2,0.023529411764705882
S00027-Ja003,B.NAIVE,IGHA2,0
S00027-Ja003,B.INT,IGHA2,0
S00027-Ja003,B.MEM,IGHA2,0
S00027-Ja003,PB,IGHA2,0.03571428571428571
S00028-Ja001,B.NAIVE,IGHA2,0
S00028-Ja001,B.INT,IGHA2,0
S00028-Ja001,B.MEM,IGHA2,0.06451612903225806
S00028-Ja001,PB,IGHA2,0.03896103896103896
S00034-Ja005,B.NAIVE,IGHA2,0
S00034-Ja005,B.INT,IGHA2,0.01818181818181818
